[1] Anomaly score: 0.9999999990760734 | label: 0
[118] Anomaly score: 0.14811393425529368 | label: 1
[119] Anomaly score: 0.15123311662483724 | label: 1
[120] Anomaly score: 0.09252058828042571 | label: 1
[121] Anomaly score: 0.10290869914595412 | label: 1
[122] Anomaly score: 0.08459504546190302 | label: 1
[123] Anomaly score: 0.08456121026331814 | label: 1
[124] Anomaly score: 0.05530891883676384 | label: 1
[125] Anomaly score: 0.04601023087567148 | label: 1
[126] Anomaly score: 0.032045105109747875 | label: 1
[127] Anomaly score: 0.059276448320826174 | label: 1
[128] Anomaly score: 0.03709218889865901 | label: 1
[129] Anomaly score: 0.0436075793261598 | label: 1
[130] Anomaly score: 0.028275652517401183 | label: 1
[131] Anomaly score: 0.061264266237687826 | label: 1
[132] Anomaly score: 0.05985446629665119 | label: 1
[133] Anomaly score: 0.06609635553559087 | label: 1
[134] Anomaly score: 0.07085161073670743 | label: 1
[135] Anomaly score: 0.06961944558824142 | label: 1
[136] Anomaly score: 0.06564768670435597 | label: 1
[137] Anomaly score: 0.06623345857985669 | label: 1
[138] Anomaly score: 0.06775533761620574 | label: 1
[139] Anomaly score: 0.06552961595929416 | label: 1
[140] Anomaly score: 0.041150650478918215 | label: 1
[141] Anomaly score: 0.07726091371864521 | label: 1
[142] Anomaly score: 0.06269662297778104 | label: 1
[143] Anomaly score: 0.07935446663108461 | label: 1
[144] Anomaly score: 0.054777776708978286 | label: 1
[145] Anomaly score: 0.04479709802640946 | label: 1
[146] Anomaly score: 0.030835144310353186 | label: 1
[147] Anomaly score: 0.014046189262533211 | label: 1
[148] Anomaly score: 0.01888462266017093 | label: 1
[149] Anomaly score: 0.030550364722263787 | label: 1
[150] Anomaly score: 0.027304652808012204 | label: 1
[151] Anomaly score: 0.05849330445358033 | label: 1
[152] Anomaly score: 0.056096997003803314 | label: 1
[153] Anomaly score: 0.06038384617451045 | label: 1
[154] Anomaly score: 0.04263129286699194 | label: 1
[155] Anomaly score: 0.0659261221927107 | label: 1
[156] Anomaly score: 0.05133997955276046 | label: 1
[157] Anomaly score: 0.05674021822690128 | label: 1
[158] Anomaly score: 0.03744252418400661 | label: 1
[159] Anomaly score: 0.032987203920345605 | label: 1
[160] Anomaly score: 0.04714511982820597 | label: 1
[161] Anomaly score: 0.015054548670359661 | label: 1
[162] Anomaly score: 0.044031576658426566 | label: 1
[163] Anomaly score: 0.007834963172311075 | label: 1
[164] Anomaly score: 0.008997343223695777 | label: 1
[165] Anomaly score: 0.0 | label: 1
[166] Anomaly score: 0.04115170782887399 | label: 1
[167] Anomaly score: 0.06652176266779868 | label: 1
[168] Anomaly score: 0.06928955240203885 | label: 1
[169] Anomaly score: 0.07059326489751247 | label: 1
[170] Anomaly score: 0.03517380362889342 | label: 1
[171] Anomaly score: 0.04924889379021788 | label: 1
[172] Anomaly score: 0.04580792458413272 | label: 1
[173] Anomaly score: 0.05079509187554981 | label: 1
[174] Anomaly score: 0.06550670671025231 | label: 1
[175] Anomaly score: 0.06839750148934792 | label: 1
[176] Anomaly score: 0.047984303243108026 | label: 1
